timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663586238258,540,POST Request SignIn,200,OK,Performance Test 1-4,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,540,0,0
1663586238714,88,PUT Request Changemileage Json,200,OK,Performance Test 1-3,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66425,88,0,0
1663586239303,49,DEL Request Del car Json,200,OK,Performance Test 1-3,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66425,49,0,0
1663586239653,50,GET Request NOcar,200,OK,Performance Test 1-3,text,true,,969,262,3,3,https://qauto2.forstudy.space/api/cars,50,0,0
1663586239703,50,GET Request Logout,200,OK,Performance Test 1-3,text,true,,497,269,3,3,https://qauto2.forstudy.space/api/auth/logout,50,0,0
1663586239799,58,POST Request AddCar Json,201,Created,Performance Test 1-4,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,58,0,0
1663586240169,514,GET Request Mycar,200,OK,Performance Test 1-4,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,514,0,0
1663586240063,620,POST Request SignIn,200,OK,Performance Test 1-5,text,true,,659,291,2,2,https://qauto2.forstudy.space/api/auth/signin,620,0,89
1663586241199,58,PUT Request Changemileage Json,200,OK,Performance Test 1-4,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66426,58,0,0
1663586241697,61,POST Request AddCar Json,201,Created,Performance Test 1-5,text,true,,540,349,2,2,https://qauto2.forstudy.space/api/cars,61,0,0
1663586241760,48,DEL Request Del car Json,200,OK,Performance Test 1-4,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66426,48,0,0
1663586242073,55,GET Request Mycar,200,OK,Performance Test 1-5,text,true,,1184,260,2,2,https://qauto2.forstudy.space/api/cars,55,0,0
1663586242120,53,GET Request NOcar,200,OK,Performance Test 1-4,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,52,0,0
1663586242173,50,GET Request Logout,200,OK,Performance Test 1-4,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,50,0,0
1663586242635,63,PUT Request Changemileage Json,200,OK,Performance Test 1-5,text,true,,536,310,2,2,https://qauto2.forstudy.space/api/cars/66427,63,0,0
1663586243200,62,DEL Request Del car Json,200,OK,Performance Test 1-5,text,true,,335,313,2,2,https://qauto2.forstudy.space/api/cars/66427,62,0,0
1663586242727,535,POST Request SignIn,200,OK,Performance Test 1-4,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,535,0,0
1663586243564,49,GET Request NOcar,200,OK,Performance Test 1-5,text,true,,969,260,2,2,https://qauto2.forstudy.space/api/cars,49,0,0
1663586243614,50,GET Request Logout,200,OK,Performance Test 1-5,text,true,,497,267,2,2,https://qauto2.forstudy.space/api/auth/logout,50,0,0
1663586244179,534,POST Request SignIn,200,OK,Performance Test 1-5,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,534,0,0
1663586244275,449,POST Request AddCar Json,201,Created,Performance Test 1-4,text,true,,540,355,2,2,https://qauto2.forstudy.space/api/cars,449,0,0
1663586245026,50,GET Request Mycar,200,OK,Performance Test 1-4,text,true,,1184,266,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
1663586245587,54,PUT Request Changemileage Json,200,OK,Performance Test 1-4,text,true,,536,316,3,3,https://qauto2.forstudy.space/api/cars/66428,54,0,0
1663586245726,54,POST Request AddCar Json,201,Created,Performance Test 1-5,text,true,,540,351,3,3,https://qauto2.forstudy.space/api/cars,54,0,0
1663586246084,48,GET Request Mycar,200,OK,Performance Test 1-5,text,true,,1401,262,3,3,https://qauto2.forstudy.space/api/cars,48,0,0
1663586246146,48,DEL Request Del car Json,200,OK,Performance Test 1-4,text,true,,335,319,3,3,https://qauto2.forstudy.space/api/cars/66428,48,0,0
1663586246498,205,GET Request NOcar,200,OK,Performance Test 1-4,text,true,,1184,266,3,3,https://qauto2.forstudy.space/api/cars,205,0,0
1663586246069,640,POST Request SignIn,200,OK,Performance Test 1-6,text,true,,661,291,3,3,https://qauto2.forstudy.space/api/auth/signin,640,0,91
1663586246636,78,PUT Request Changemileage Json,200,OK,Performance Test 1-5,text,true,,536,312,3,3,https://qauto2.forstudy.space/api/cars/66429,78,0,0
1663586246703,50,GET Request Logout,200,OK,Performance Test 1-4,text,true,,497,273,3,3,https://qauto2.forstudy.space/api/auth/logout,49,0,0
1663586247208,136,DEL Request Del car Json,200,OK,Performance Test 1-5,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66429,136,0,0
1663586247637,81,GET Request NOcar,200,OK,Performance Test 1-5,text,true,,969,262,2,2,https://qauto2.forstudy.space/api/cars,81,0,0
1663586247719,55,GET Request Logout,200,OK,Performance Test 1-5,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,55,0,0
1663586247719,67,POST Request AddCar Json,201,Created,Performance Test 1-6,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,67,0,0
1663586248097,62,GET Request Mycar,200,OK,Performance Test 1-6,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,62,0,0
1663586248284,555,POST Request SignIn,200,OK,Performance Test 1-5,text,true,,667,291,2,2,https://qauto2.forstudy.space/api/auth/signin,555,0,0
1663586248669,172,PUT Request Changemileage Json,200,OK,Performance Test 1-6,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66430,172,0,0
1663586249348,49,DEL Request Del car Json,200,OK,Performance Test 1-6,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66430,49,0,0
1663586249707,51,GET Request NOcar,200,OK,Performance Test 1-6,text,true,,969,262,2,2,https://qauto2.forstudy.space/api/cars,51,0,0
1663586249759,53,GET Request Logout,200,OK,Performance Test 1-6,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,53,0,0
1663586249848,57,POST Request AddCar Json,201,Created,Performance Test 1-5,text,true,,540,357,2,2,https://qauto2.forstudy.space/api/cars,57,0,0
1663586250216,50,GET Request Mycar,200,OK,Performance Test 1-5,text,true,,1184,268,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
1663586250321,548,POST Request SignIn,200,OK,Performance Test 1-6,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,548,0,0
1663586250778,99,PUT Request Changemileage Json,200,OK,Performance Test 1-5,text,true,,536,318,2,2,https://qauto2.forstudy.space/api/cars/66431,98,0,0
1663586251377,51,DEL Request Del car Json,200,OK,Performance Test 1-5,text,true,,335,321,2,2,https://qauto2.forstudy.space/api/cars/66431,51,0,0
1663586251728,50,GET Request NOcar,200,OK,Performance Test 1-5,text,true,,969,268,3,3,https://qauto2.forstudy.space/api/cars,50,0,0
1663586251778,48,GET Request Logout,200,OK,Performance Test 1-5,text,true,,497,275,3,3,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586251870,68,POST Request AddCar Json,201,Created,Performance Test 1-6,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,68,0,0
1663586252240,439,GET Request Mycar,200,OK,Performance Test 1-6,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,439,0,0
1663586252052,627,POST Request SignIn,200,OK,Performance Test 1-7,text,true,,663,291,2,2,https://qauto2.forstudy.space/api/auth/signin,627,0,90
1663586253182,56,PUT Request Changemileage Json,200,OK,Performance Test 1-6,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66432,56,0,0
1663586253684,63,POST Request AddCar Json,201,Created,Performance Test 1-7,text,true,,540,353,2,2,https://qauto2.forstudy.space/api/cars,63,0,0
1663586253747,49,DEL Request Del car Json,200,OK,Performance Test 1-6,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66432,49,0,0
